claim_id,article_anchor,claim_usage,chart_id,series_key,section,claim_type,claim_text,metric_id,period,coverage_scope,filters_json,value,unit,display_value,formula,source_ids,verification_status,failure_reason
C-001,fact_summary,ARTICLE_TEXT,,,要約,FACT,売上高の当期水準,sales,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",408.661405,兆円,408.7兆円,"e-Stat source value (百万円) / 100 / 10,000",table1_nonfinancial_raw,PASS,
C-002,fact_summary,ARTICLE_TEXT,,,要約,CALC,売上高の前年同期差,sales,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",4.430323999999976,兆円,4.4兆円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-003,fact_summary,ARTICLE_TEXT,,,要約,CALC,売上高の前年同期比,sales,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",1.0959879653588578,%,+1.1%,(current / year-ago - 1) × 100,table1_nonfinancial_raw,PASS,
C-004,fact_summary,ARTICLE_TEXT,,,要約,FACT,営業利益の当期水準,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",26.283436,兆円,26.3兆円,"e-Stat source value (百万円) / 100 / 10,000",table1_nonfinancial_raw,PASS,
C-005,fact_summary,ARTICLE_TEXT,,,要約,CALC,営業利益の前年同期差,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",2.597025,兆円,2.6兆円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-006,fact_summary,ARTICLE_TEXT,,,要約,CALC,営業利益の前年同期比,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",10.964197995213375,%,+11.0%,(current / year-ago - 1) × 100,table1_nonfinancial_raw,PASS,
C-007,fact_summary,ARTICLE_TEXT,,,要約,FACT,経常利益の当期水準,ordinary_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",32.627086,兆円,32.6兆円,"e-Stat source value (百万円) / 100 / 10,000",table1_nonfinancial_raw,PASS,
C-008,fact_summary,ARTICLE_TEXT,,,要約,CALC,経常利益の前年同期差,ordinary_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",4.157686999999999,兆円,4.2兆円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-009,fact_summary,ARTICLE_TEXT,,,要約,CALC,経常利益の前年同期比,ordinary_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",14.604056095458851,%,+14.6%,(current / year-ago - 1) × 100,table1_nonfinancial_raw,PASS,
C-010,fact_summary,ARTICLE_TEXT,,,要約,FACT,設備投資（ソフトウェア込み）の当期水準,capex_including_software,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",18.80639,兆円,18.8兆円,"e-Stat source value (百万円) / 100 / 10,000",table1_nonfinancial_raw,PASS,
C-011,fact_summary,ARTICLE_TEXT,,,要約,CALC,設備投資（ソフトウェア込み）の前年同期差,capex_including_software,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",88.77999999999884,億円,89億円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-012,fact_summary,ARTICLE_TEXT,,,要約,CALC,設備投資（ソフトウェア込み）の前年同期比,capex_including_software,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",0.04722965464791784,%,+0.05%,(current / year-ago - 1) × 100,table1_nonfinancial_raw,PASS,
C-013,seasonal,ARTICLE_TEXT,,,季節調整,CALC,売上高の季節調整済み前期比,sales,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",1.310104771045273,%,+1.3%,(seasonally adjusted current / prior quarter - 1) × 100,table4_nonfinancial_sa;mof_published_sa_rates,PASS,
C-014,seasonal,ARTICLE_TEXT,,,季節調整,CALC,営業利益の季節調整済み前期比,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",7.611546247711698,%,+7.6%,(seasonally adjusted current / prior quarter - 1) × 100,table4_nonfinancial_sa;mof_published_sa_rates,PASS,
C-015,seasonal,ARTICLE_TEXT,,,季節調整,CALC,経常利益の季節調整済み前期比,ordinary_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",4.081807396518733,%,+4.1%,(seasonally adjusted current / prior quarter - 1) × 100,table4_nonfinancial_sa;mof_published_sa_rates,PASS,
C-016,seasonal,ARTICLE_TEXT,,,季節調整,CALC,設備投資（ソフトウェア除く）の季節調整済み前期比,capex_excluding_software,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",-3.455958814054705,%,-3.5%,(seasonally adjusted current / prior quarter - 1) × 100,table4_nonfinancial_sa;mof_published_sa_rates,PASS,
C-017,seasonal,ARTICLE_TEXT,,,季節調整,CALC,設備投資（ソフトウェア込み）の季節調整済み前期比,capex_including_software,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",-2.0274561304659766,%,-2.0%,(seasonally adjusted current / prior quarter - 1) × 100,table4_nonfinancial_sa;mof_published_sa_rates,PASS,
C-018,finding_concentration,ARTICLE_TEXT,,,独自発見,CALC,製造業の営業利益前年差,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_name"": ""製造業""}",2.7752569999999994,兆円,2.8兆円,industry current operating profit - year-ago operating profit,table1_nonfinancial_raw,PASS,
C-019,finding_concentration,ARTICLE_TEXT,,,独自発見,CALC,製造業の全体営業利益前年差への寄与率,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_name"": ""製造業""}",106.86292969840487,%,106.9%,industry operating-profit delta / all-industry operating-profit delta × 100,table1_nonfinancial_raw,PASS,
C-020,finding_concentration,ARTICLE_TEXT,,,独自発見,CALC,営業利益の増益寄与・上位1業種集中度,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""industry_level"": ""published_major_industry"", ""top_n"": 1}",79.72470949857082,%,79.7%,sum(top-N positive industry deltas) / gross positive industry deltas × 100,table1_nonfinancial_raw,PASS,
C-021,finding_concentration,ARTICLE_TEXT,,,独自発見,CALC,営業利益の増益寄与・上位3業種集中度,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""industry_level"": ""published_major_industry"", ""top_n"": 3}",93.81318854943191,%,93.8%,sum(top-N positive industry deltas) / gross positive industry deltas × 100,table1_nonfinancial_raw,PASS,
C-022,finding_concentration,ARTICLE_TEXT,,,独自発見,CALC,営業利益の増益寄与・上位5業種集中度,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""industry_level"": ""published_major_industry"", ""top_n"": 5}",99.84964306746527,%,99.8%,sum(top-N positive industry deltas) / gross positive industry deltas × 100,table1_nonfinancial_raw,PASS,
C-023,finding_capital,ARTICLE_TEXT,,,独自発見,CALC,10億円以上の営業利益前年差,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_size_name"": ""10億円以上""}",1.9715410000000004,兆円,2.0兆円,capital-size current operating profit - year-ago value,table1_nonfinancial_raw,PASS,
C-024,finding_capital,ARTICLE_TEXT,,,独自発見,CALC,10億円以上の営業利益前年差への寄与率,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_size_name"": ""10億円以上""}",75.91536469614272,%,75.9%,capital-size operating-profit delta / all-capital delta × 100,table1_nonfinancial_raw,PASS,
C-025,finding_profit_gap,ARTICLE_TEXT,,,独自発見,CALC,経常利益と営業利益の水準差,ordinary_minus_operating,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",6.34365,兆円,6.3兆円,ordinary profit - operating profit,table1_nonfinancial_raw,PASS,
C-026,finding_profit_gap,ARTICLE_TEXT,,,独自発見,CALC,経常利益前年差と営業利益前年差の差,ordinary_minus_operating,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",1.5606619999999995,兆円,1.6兆円,ordinary-profit yoy delta - operating-profit yoy delta,table1_nonfinancial_raw,PASS,
C-027,margin,ARTICLE_TEXT,,,利益率,CALC,売上高営業利益率,operating_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",6.431592432860158,%,6.4%,operating_profit / sales × 100,table1_nonfinancial_raw,PASS,
C-028,margin,ARTICLE_TEXT,,,利益率,CALC,売上高経常利益率,ordinary_profit,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",7.983892190651084,%,8.0%,ordinary_profit / sales × 100,table1_nonfinancial_raw,PASS,
C-029,software,ARTICLE_TEXT,,,設備投資,CALC,ソフトウェア投資の逆算値,software_capex_derived,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",2.240222,兆円,2.2兆円,capex including software - capex excluding software,table1_nonfinancial_raw,PASS,
C-030,software,ARTICLE_TEXT,,,設備投資,CALC,ソフトウェア投資逆算値の前年同期比,software_capex_derived,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",12.174875317964307,%,+12.2%,(derived software investment / year-ago - 1) × 100,table1_nonfinancial_raw,PASS,
C-031,allocation,ARTICLE_TEXT,,,配分,CALC,従業員1人当たり給与総額の概算,employee_pay_per_person_approx,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",115.97742603487926,万円/人,116.0万円/人,(employee wages + bonuses) × 100 / employee count,table1_nonfinancial_raw,PASS,
C-032,allocation,ARTICLE_TEXT,,,配分,CALC,現預金の前年差,cash_and_deposits,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",10.775829000000003,兆円,10.8兆円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-033,allocation,ARTICLE_TEXT,,,配分,CALC,借入金合計の前年差,total_borrowings_derived,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",41.86372599999998,兆円,41.9兆円,current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
C-034,allocation,ARTICLE_TEXT,,,配分,CALC,支払利息等の前年差,interest_expense,2026年1 - 3 月,EXCL_FINANCE_INSURANCE,"{""capital_bucket"": ""ALL_CAPITAL"", ""industry_bucket"": ""ALL_NONFINANCIAL""}",6759.860000000001,億円,"6,760億円",current raw value - year-ago raw value,table1_nonfinancial_raw,PASS,
