claim_id,candidate_id,claim_type,claim_usage,metric_id,value,unit,display_value,formula,source_row_key,source_authority,verification_status,publication_status,central_candidate_id
V-001,D,CALC,PHASE0_REPRODUCTION_ACTUAL,all_operating_profit_yoy_delta,25970.25,億円,"25,970.25億円",industry=104;capital=26;metric=operating_profit,all_operating_profit_yoy_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-002,D,CALC,PHASE0_REPRODUCTION_ACTUAL,all_ordinary_profit_yoy_delta,41576.869999999995,億円,"41,576.87億円",industry=104;capital=26;metric=ordinary_profit,all_ordinary_profit_yoy_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-003,D,CALC,PHASE0_REPRODUCTION_ACTUAL,all_gap_yoy_delta,15606.619999999995,億円,"15,606.62億円",ordinary_profit delta - operating_profit delta,all_gap_yoy_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-004,D,CALC,PHASE0_REPRODUCTION_ACTUAL,all_gap_share_of_ordinary_delta_pct,37.53678427452571,%,37.537%,all_gap_yoy_delta / all_ordinary_profit_yoy_delta,all_gap_share_of_ordinary_delta_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-005,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_25_ordinary_delta,34231.100000000006,億円,"34,231.10億円",industry=104;capital=25;metric=ordinary_profit,capital_25_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-006,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_25_ordinary_contribution_pct,82.33207550255709,%,82.332%,capital_25 ordinary delta / all ordinary delta,capital_25_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-007,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_24_ordinary_delta,5942.970000000001,億円,"5,942.97億円",industry=104;capital=24;metric=ordinary_profit,capital_24_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-008,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_24_ordinary_contribution_pct,14.293933141191248,%,14.294%,capital_24 ordinary delta / all ordinary delta,capital_24_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-009,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_19_ordinary_delta,1402.7999999999884,億円,"1,402.80億円",industry=104;capital=19;metric=ordinary_profit,capital_19_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-010,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_19_ordinary_contribution_pct,3.3739913562516577,%,3.374%,capital_19 ordinary delta / all ordinary delta,capital_19_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-011,A,CALC,PHASE0_REPRODUCTION_ACTUAL,manufacturing_ordinary_delta,38783.32999999999,億円,"38,783.33億円",industry=108;capital=26;metric=ordinary_profit,manufacturing_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-012,A,CALC,PHASE0_REPRODUCTION_ACTUAL,manufacturing_ordinary_contribution_pct,93.28102380001187,%,93.281%,manufacturing ordinary delta / all ordinary delta,manufacturing_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-013,A,CALC,PHASE0_REPRODUCTION_ACTUAL,large_manufacturing_ordinary_delta,29960.179999999993,億円,"29,960.18億円",industry=108;capital=25;metric=ordinary_profit,large_manufacturing_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-014,A,CALC,PHASE0_REPRODUCTION_ACTUAL,large_manufacturing_ordinary_contribution_pct,72.05972936394683,%,72.060%,large manufacturing ordinary delta / all ordinary delta,large_manufacturing_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-015,A,CALC,PHASE0_REPRODUCTION_ACTUAL,small_manufacturing_ordinary_delta,6225.360000000001,億円,"6,225.36億円",industry=108;capital=19;metric=ordinary_profit,small_manufacturing_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-016,A,CALC,PHASE0_REPRODUCTION_ACTUAL,small_manufacturing_ordinary_contribution_pct,14.97313289817151,%,14.973%,small manufacturing ordinary delta / all ordinary delta,small_manufacturing_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-017,E,CALC,PHASE0_REPRODUCTION_ACTUAL,ict_machinery_operating_delta,11801.409999999998,億円,"11,801.41億円",industry=145;capital=26;metric=operating_profit,ict_machinery_operating_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-018,E,CALC,PHASE0_REPRODUCTION_ACTUAL,ict_machinery_ordinary_delta,15853.14,億円,"15,853.14億円",industry=145;capital=26;metric=ordinary_profit,ict_machinery_ordinary_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-019,E,CALC,PHASE0_REPRODUCTION_ACTUAL,ict_machinery_gap_delta,4051.7300000000014,億円,"4,051.73億円",ICT ordinary delta - operating delta,ict_machinery_gap_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-020,E,CALC,PHASE0_REPRODUCTION_ACTUAL,ict_machinery_ordinary_contribution_pct,38.12971010083251,%,38.130%,ICT ordinary delta / all ordinary delta,ict_machinery_ordinary_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-021,E,CALC,PHASE0_REPRODUCTION_ACTUAL,ict_machinery_gap_share_pct,25.557902093843882,%,25.558%,ICT gap delta / ICT ordinary delta,ict_machinery_gap_share_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-022,B,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_25_sales_yoy_pct,1.6958349811963425,%,1.696%,industry=104;capital=25;metric=sales,capital_25_sales_yoy_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-023,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_25_operating_yoy_pct,18.494684964157273,%,18.495%,industry=104;capital=25;metric=operating_profit,capital_25_operating_yoy_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-024,B,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_25_operating_margin_delta_pp,1.0698592567618945,ポイント,1.070ポイント,capital=25 current operating margin - prior margin,capital_25_operating_margin_delta_pp,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-025,B,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_19_sales_yoy_pct,2.1008512896117715,%,2.101%,industry=104;capital=19;metric=sales,capital_19_sales_yoy_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-026,,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_19_operating_yoy_pct,-1.8901839649312357,%,-1.890%,industry=104;capital=19;metric=operating_profit,capital_19_operating_yoy_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-027,B,CALC,PHASE0_REPRODUCTION_ACTUAL,capital_19_operating_margin_delta_pp,-0.2275178182744595,ポイント,-0.228ポイント,capital=19 current operating margin - prior margin,capital_19_operating_margin_delta_pp,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-028,C,CALC,PHASE0_REPRODUCTION_ACTUAL,software_all_delta,2431.420000000013,億円,"2,431.42億円",all capex including delta - excluding delta,software_all_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-029,C,CALC,PHASE0_REPRODUCTION_ACTUAL,software_capital_19_delta,1784.1100000000006,億円,"1,784.11億円",capital=19 capex including delta - excluding delta,software_capital_19_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-030,C,CALC,PHASE0_REPRODUCTION_ACTUAL,software_capital_19_contribution_pct,73.37728570135934,%,73.377%,small-capital software delta / all software delta,software_capital_19_contribution_pct,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-031,C,CALC,PHASE0_REPRODUCTION_ACTUAL,capex_excluding_all_delta,-2342.640000000014,億円,"-2,342.64億円",industry=104;capital=26;metric=capex_excluding_software,capex_excluding_all_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-032,C,CALC,PHASE0_REPRODUCTION_ACTUAL,capex_including_all_delta,88.77999999999884,億円,88.78億円,industry=104;capital=26;metric=capex_including_software,capex_including_all_delta,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-033,A,CALC,HISTORICAL_ROBUSTNESS,current_indicator_value,72.05972936394683,%,72.060%,pre-registered candidate A historical calculation,candidate=A;metric=current_indicator_value;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-034,A,CALC,HISTORICAL_ROBUSTNESS,historical_percentile,88.76404494382022,percentile,88.8パーセンタイル,pre-registered candidate A historical calculation,candidate=A;metric=historical_percentile;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-035,A,CALC,HISTORICAL_ROBUSTNESS,mad_robust_z,1.8214515699885208,robust_z,1.821,pre-registered candidate A historical calculation,candidate=A;metric=mad_robust_z;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
