evidence_id,candidate_id,candidate_label_ja,pattern_status,phase3_eligible,source_frozen,source_retrieval_status,evidence_use_status,assessment,source_id,provider,source_class,document_title,url,landing_page_url,publication_date,reference_period,direct_observation,limitation,claim_use,causal_inference_allowed,raw_path,sha256,retrieved_at
EV-A-001,A,資本金十億円以上の製造業への経常増益集中,UNSTABLE_OR_NO_PATTERN,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_tankan_2026_03_summary,日本銀行,CENTRAL_BANK_PRIMARY_SURVEY,短観（要旨）2026年3月,https://www.boj.or.jp/statistics/tk/yoshi/tk2603.htm,https://www.boj.or.jp/statistics/tk/tankan03b.htm,2026-04-01,2026-03 survey; FY2025 plan and FY2026 plan,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-A-002,A,資本金十億円以上の製造業への経常増益集中,UNSTABLE_OR_NO_PATTERN,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,mof_trade_2026_03_final_xml,財務省関税局,OFFICIAL_STATISTICS,令和8年3月分貿易統計（確報）XML版,https://www.customs.go.jp/toukei/shinbun/trade-st/2026/2026036.xml,https://www.customs.go.jp/toukei/shinbun/happyou.htm,2026-05-28,2026-03,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-B-001,B,小規模売上増と営業利益率低下・大規模利益率上昇,RECENT_BUT_NOT_ESTABLISHED,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_tankan_2026_03_summary,日本銀行,CENTRAL_BANK_PRIMARY_SURVEY,短観（要旨）2026年3月,https://www.boj.or.jp/statistics/tk/yoshi/tk2603.htm,https://www.boj.or.jp/statistics/tk/tankan03b.htm,2026-04-01,2026-03 survey; FY2025 plan and FY2026 plan,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-B-002,B,小規模売上増と営業利益率低下・大規模利益率上昇,RECENT_BUT_NOT_ESTABLISHED,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_cgpi_2026_03,日本銀行,CENTRAL_BANK_OFFICIAL_STATISTICS,企業物価指数（2026年3月速報）,https://www.boj.or.jp/statistics/pi/cgpi_release/cgpi2603.pdf,https://www.boj.or.jp/statistics/pi/cgpi_release/index.htm,2026-04-10,2026-03 and 2026-Q1,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-C-001,C,設備投資横ばい・ソフトウェア増・ソフト除く投資減,ONE_QUARTER_OUTLIER,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_tankan_2026_03_full,日本銀行,CENTRAL_BANK_PRIMARY_SURVEY,全国企業短期経済観測調査（2026年3月調査全容）,https://www.boj.or.jp/statistics/tk/zenyo/2026/data/all2603.zip,https://www.boj.or.jp/statistics/tk/zenyo/2026/all2603.htm,2026-04-02,2026-03 survey; FY2025 plan and FY2026 plan,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-C-002,C,設備投資横ばい・ソフトウェア増・ソフト除く投資減,ONE_QUARTER_OUTLIER,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,smrj_it_grants_2025,IT導入補助金事務局（中小企業基盤整備機構関連事業）,OFFICIAL_PROGRAM_ADMINISTRATION,IT導入補助金2025　交付決定事業者一覧および交付申請件数,https://it-shien.smrj.go.jp/2025/download/grantdecision_list/,https://it-shien.smrj.go.jp/,2026-02-17,grant decisions from 2025-06-18 through 2026-02-17,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-D-001,D,経常利益増加に占める営業利益外差額の改善,RECENT_BUT_NOT_ESTABLISHED,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_tankan_2026_03_summary,日本銀行,CENTRAL_BANK_PRIMARY_SURVEY,短観（要旨）2026年3月,https://www.boj.or.jp/statistics/tk/yoshi/tk2603.htm,https://www.boj.or.jp/statistics/tk/tankan03b.htm,2026-04-01,2026-03 survey; FY2025 plan and FY2026 plan,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-D-002,D,経常利益増加に占める営業利益外差額の改善,RECENT_BUT_NOT_ESTABLISHED,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,boj_cgpi_2026_03,日本銀行,CENTRAL_BANK_OFFICIAL_STATISTICS,企業物価指数（2026年3月速報）,https://www.boj.or.jp/statistics/pi/cgpi_release/cgpi2603.pdf,https://www.boj.or.jp/statistics/pi/cgpi_release/index.htm,2026-04-10,2026-03 and 2026-Q1,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-E-001,E,情報通信機械器具製造業の経常増益寄与,UNSTABLE_OR_NO_PATTERN,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,meti_iip_2026_03_final,経済産業省,OFFICIAL_STATISTICS,2026年3月の鉱工業（生産・出荷・在庫）指数の動向（確報）,https://www.meti.go.jp/statistics/tyo/iip/result/pdf/press/b2020_202603kj.pdf,https://www.meti.go.jp/statistics/tyo/iip/kako_press.html,2026-05-19,2026-03 and 2026-Q1,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
EV-E-002,E,情報通信機械器具製造業の経常増益寄与,UNSTABLE_OR_NO_PATTERN,False,False,NOT_REQUESTED_PHASE3_INELIGIBLE,NOT_ACTIVATED_NON_PERSISTENT,NOT_APPLICABLE,mof_trade_2026_03_final_xml,財務省関税局,OFFICIAL_STATISTICS,令和8年3月分貿易統計（確報）XML版,https://www.customs.go.jp/toukei/shinbun/trade-st/2026/2026036.xml,https://www.customs.go.jp/toukei/shinbun/happyou.htm,2026-05-28,2026-03,未取得（PERSISTENT_PATTERNに該当しないためPhase 3非発動）,外部資料の取得・評価を実行していない。,PUBLIC_USE_PROHIBITED,False,,,
