coverage_scope,source_table_number,release_id,period_code,period,period_end,estat_sid,taxonomy,aggregation_level,industry_code,industry_name,parent_major_code,parent_major_name,capital_size_code,capital_size_name,ordinary_profit_current_oku_yen,ordinary_profit_previous_oku_yen,ordinary_profit_yoy_delta_oku_yen,operating_profit_current_oku_yen,operating_profit_previous_oku_yen,operating_profit_yoy_delta_oku_yen,net_non_operating_gap_current_oku_yen,net_non_operating_gap_previous_oku_yen,net_non_operating_gap_yoy_delta_oku_yen,gap_delta_share_of_ordinary_delta_pct,gap_share_status,ordinary_profit_transition_yoy,interpretation_note
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,ALL,104,全産業（除く金融保険業）,,,26,全規模,326270.86,284693.99,41576.869999999995,262834.36,236864.11,25970.25,63436.5,47829.880000000005,15606.619999999995,37.53678427452571,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,19,1千万円以上 - 1億円未満,94161.62,92758.82,1402.7999999999884,82472.22,84061.13,-1588.9100000000035,11689.399999999994,8697.690000000002,2991.709999999992,213.2670373538649,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,24,1億円以上 - 10億円未満,59048.11,53105.14,5942.970000000001,54046.32,46202.57,7843.75,5001.790000000001,6902.57,-1900.7799999999988,-31.98367146393131,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,25,10億円以上,173061.13,138830.03,34231.100000000006,126315.82,106600.41,19715.410000000003,46745.31,32229.619999999995,14515.690000000002,42.40497676089872,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY,109,食料品製造業,108,製造業,26,全規模,4976.31,4021.62,954.6900000000005,2353.71,1001.17,1352.54,2622.6000000000004,3020.45,-397.84999999999945,-41.67321329436773,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,19,1千万円以上 - 1億円未満,233.01,-839.8,1072.81,-44.97,-764.2,719.23,277.98,-75.59999999999991,353.5799999999999,,NEGATIVE_PRIOR_ORDINARY_PROFIT,LOSS_TO_PROFIT,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,24,1億円以上 - 10億円未満,445.02,994.66,-549.64,336.18,307.88,28.30000000000001,108.83999999999997,686.78,-577.94,105.14882468524853,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,25,10億円以上,4298.28,3866.76,431.5199999999995,2062.5,1457.49,605.01,2235.7799999999997,2409.2700000000004,-173.4900000000007,-40.20439377085671,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY,110,繊維工業,108,製造業,26,全規模,2072.27,1155.3,916.97,1361.88,773.89,587.9900000000001,710.3899999999999,381.40999999999997,328.9799999999999,35.876855295156865,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,110,繊維工業,108,製造業,19,1千万円以上 - 1億円未満,1050.41,552.8,497.6100000000001,869.69,514.65,355.0400000000001,180.72000000000003,38.14999999999998,142.57000000000005,28.65095154840136,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,110,繊維工業,108,製造業,24,1億円以上 - 10億円未満,248.61,238.64,9.970000000000027,261.36,163.14,98.22000000000003,-12.75,75.5,-88.25,-885.1554663991951,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,110,繊維工業,108,製造業,25,10億円以上,773.25,363.86,409.39,230.83,96.1,134.73000000000002,542.42,267.76,274.65999999999997,67.09006082219886,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY,112,木材・木製品製造業,108,製造業,26,全規模,314.67,124.88,189.79000000000002,253.66,206.72,46.94,61.01000000000002,-81.84,142.85000000000002,75.26740081142316,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,112,木材・木製品製造業,108,製造業,19,1千万円以上 - 1億円未満,240.41,78.52,161.89,205.2,169.87,35.329999999999984,35.21000000000001,-91.35000000000001,126.56000000000002,78.17653962567177,CALCULABLE,NO_SIGN_CHANGE,"ordinary_profit minus operating_profit; may contain net interest, dividends, FX, equity-method and other non-operating items"
