check_id,taxonomy,scope,parent_major_code,industry_code,capital_size_code,metric_id,measure,expected_oku_yen,actual_oku_yen,difference_oku_yen,tolerance_oku_yen,status
major_grand_26_sales_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,sales,current,4086614.05,4086614.05,0.0,0.01,PASS
major_grand_26_sales_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,sales,previous,4042310.81,4042310.81,0.0,0.01,PASS
major_grand_26_sales_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,sales,yoy_delta,44303.23999999976,44303.2399999997,-5.820766091346741e-11,0.01,PASS
major_grand_26_operating_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,operating_profit,current,262834.36,262834.36,0.0,0.01,PASS
major_grand_26_operating_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,operating_profit,previous,236864.11,236864.11,0.0,0.01,PASS
major_grand_26_operating_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,operating_profit,yoy_delta,25970.25,25970.25,0.0,0.01,PASS
major_grand_26_ordinary_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,ordinary_profit,current,326270.86,326270.86,0.0,0.01,PASS
major_grand_26_ordinary_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,ordinary_profit,previous,284693.99,284693.99,0.0,0.01,PASS
major_grand_26_ordinary_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,ordinary_profit,yoy_delta,41576.869999999995,41576.86999999999,-7.275957614183426e-12,0.01,PASS
major_grand_26_capex_including_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_including_software,current,188063.9,188063.9,0.0,0.01,PASS
major_grand_26_capex_including_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_including_software,previous,187975.12,187975.12,0.0,0.01,PASS
major_grand_26_capex_including_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_including_software,yoy_delta,88.77999999999884,88.78000000000196,3.126388037344441e-12,0.01,PASS
major_grand_26_capex_excluding_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_excluding_software,current,165661.68,165661.68,0.0,0.01,PASS
major_grand_26_capex_excluding_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_excluding_software,previous,168004.32,168004.32,0.0,0.01,PASS
major_grand_26_capex_excluding_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,26,capex_excluding_software,yoy_delta,-2342.640000000014,-2342.640000000006,8.185452315956354e-12,0.01,PASS
major_grand_19_sales_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,sales,current,1474569.93,1474569.93,0.0,0.01,PASS
major_grand_19_sales_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,sales,previous,1444228.83,1444228.8299999998,-2.3283064365386963e-10,0.01,PASS
major_grand_19_sales_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,sales,yoy_delta,30341.09999999986,30341.10000000002,1.6007106751203537e-10,0.01,PASS
major_grand_19_operating_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,operating_profit,current,82472.22,82472.22,0.0,0.01,PASS
major_grand_19_operating_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,operating_profit,previous,84061.13,84061.13,0.0,0.01,PASS
major_grand_19_operating_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,operating_profit,yoy_delta,-1588.9100000000035,-1588.910000000002,1.5916157281026244e-12,0.01,PASS
major_grand_19_ordinary_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,ordinary_profit,current,94161.62,94161.62,0.0,0.01,PASS
major_grand_19_ordinary_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,19,ordinary_profit,previous,92758.82,92758.82,0.0,0.01,PASS
