breakdown,category_code,category_id,category_label_ja,metric_id,total_quarters,comparable_quarters,reversal_count,reversal_rate_pct,zero_involved_quarters,not_comparable_quarters,frequency_status,comparison_type,not_comparable_or_flat_quarters,headline_id,regular_only_support_count,continuing_only_support_count,both_support_count,neither_support_count,not_comparable_count,comparison_period_start,comparison_period_end,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation
capital_size,19,capital_19,中小企業,capex_including_software,41,41,13,31.70731707317073,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,19,capital_19,中小企業,operating_profit,41,41,13,31.70731707317073,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,19,capital_19,中小企業,ordinary_profit,41,41,12,29.268292682926827,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,19,capital_19,中小企業,sales,41,40,6,15.0,1.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,24,capital_24,中堅企業,capex_including_software,41,41,8,19.51219512195122,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,24,capital_24,中堅企業,operating_profit,41,41,4,9.75609756097561,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,24,capital_24,中堅企業,ordinary_profit,41,41,6,14.634146341463413,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,24,capital_24,中堅企業,sales,41,41,7,17.073170731707318,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,25,capital_25,大企業,capex_including_software,41,41,2,4.878048780487805,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,25,capital_25,大企業,operating_profit,41,41,0,0.0,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,25,capital_25,大企業,ordinary_profit,41,41,1,2.4390243902439024,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,25,capital_25,大企業,sales,41,41,1,2.4390243902439024,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,104,industry_104,全産業,capex_including_software,41,41,2,4.878048780487805,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,104,industry_104,全産業,operating_profit,41,41,4,9.75609756097561,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,104,industry_104,全産業,ordinary_profit,41,41,5,12.195121951219512,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,104,industry_104,全産業,sales,41,41,0,0.0,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,108,industry_108,製造業,capex_including_software,41,41,6,14.634146341463413,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,108,industry_108,製造業,operating_profit,41,40,1,2.5,1.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,108,industry_108,製造業,ordinary_profit,41,41,3,7.317073170731707,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,108,industry_108,製造業,sales,41,41,3,7.317073170731707,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,144,industry_144,非製造業,capex_including_software,41,41,7,17.073170731707318,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,144,industry_144,非製造業,operating_profit,41,41,6,14.634146341463413,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,144,industry_144,非製造業,ordinary_profit,41,41,3,7.317073170731707,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
industry,144,industry_144,非製造業,sales,41,41,1,2.4390243902439024,0.0,0.0,CALCULABLE,YOY_SIGN,,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
capital_size,19,capital_19,中小企業,operating_margin_direction_proxy,41,41,16,39.02439024390244,,,CALCULABLE,OPERATING_MARGIN_DIRECTION,0.0,,,,,,,2016Q1,2026Q1,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
