period_code,period_label,industry_code,industry_name,capital_size_code,capital_size_name,is_all_industry,is_major_industry,is_leaf_industry,parent_major_code,component_order,component_id,component_label_ja,profit_impact_label_ja,accounting_sign,current_oku_yen,lag4_oku_yen,source_yoy_delta_oku_yen,profit_impact_yoy_oku_yen,profit_impact_sign,signed_share_of_net_gap_delta_pct,calculation_status,interpretation_guardrail,operating_profit_oku_yen,operating_profit_lag4_oku_yen,operating_profit_yoy_delta_oku_yen,ordinary_profit_oku_yen,ordinary_profit_lag4_oku_yen,ordinary_profit_yoy_delta_oku_yen,anchor_gap_oku_yen,anchor_gap_lag4_oku_yen,anchor_gap_yoy_delta_oku_yen,component_gap_oku_yen,component_gap_lag4_oku_yen,component_gap_yoy_delta_oku_yen,profit_impact_sum_yoy_oku_yen,yoy_identity_residual_oku_yen,identity_status,yoy_identity_status,source_delta_public_rounded_oku_yen,profit_impact_public_rounded_oku_yen,public_rounded_component_sum_oku_yen,other_nonoperating_causal_interpretation,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation
20261,2026年1 - 3 月,101,農業、林業,19,1千万円以上 - 1億円未満,False,False,True,105,1,interest_and_dividend_income,受取利息等,受取利息等の前年差による利益影響,1,2.46,6.47,-4.01,-4.01,REDUCES_PROFIT_CHANGE,-4.429960229783473,CALCULABLE,会計的な利益影響であり因果を示さない,280.91,-116.33,397.24,570.22,82.46,487.76000000000005,289.31,198.79,90.52000000000001,289.31,198.79,90.52000000000001,90.51999999999998,-2.842170943040401e-14,PASS,PASS,-4.0,-4.0,91.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,19,1千万円以上 - 1億円未満,False,False,True,105,2,other_non_operating_income,その他の営業外収益,その他の営業外収益の前年差による利益影響,1,343.52,268.76,74.75999999999999,74.75999999999999,INCREASES_PROFIT_CHANGE,82.58948298718514,CALCULABLE,原因は統計だけでは特定しない,280.91,-116.33,397.24,570.22,82.46,487.76000000000005,289.31,198.79,90.52000000000001,289.31,198.79,90.52000000000001,90.51999999999998,-2.842170943040401e-14,PASS,PASS,75.0,75.0,91.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,19,1千万円以上 - 1億円未満,False,False,True,105,3,interest_expense,支払利息等,支払利息等の前年差による利益影響,-1,33.24,52.01,-18.769999999999996,18.769999999999996,INCREASES_PROFIT_CHANGE,20.73574900574458,CALCULABLE,会計的な利益影響であり因果を示さない,280.91,-116.33,397.24,570.22,82.46,487.76000000000005,289.31,198.79,90.52000000000001,289.31,198.79,90.52000000000001,90.51999999999998,-2.842170943040401e-14,PASS,PASS,-19.0,19.0,91.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,19,1千万円以上 - 1億円未満,False,False,True,105,4,other_non_operating_expense,その他の営業外費用,その他の営業外費用の前年差による利益影響,-1,23.43,24.43,-1.0,1.0,INCREASES_PROFIT_CHANGE,1.104728236853734,CALCULABLE,会計的な利益影響であり因果を示さない,280.91,-116.33,397.24,570.22,82.46,487.76000000000005,289.31,198.79,90.52000000000001,289.31,198.79,90.52000000000001,90.51999999999998,-2.842170943040401e-14,PASS,PASS,-1.0,1.0,91.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,24,1億円以上 - 10億円未満,False,False,True,105,1,interest_and_dividend_income,受取利息等,受取利息等の前年差による利益影響,1,0.96,0.65,0.30999999999999994,0.30999999999999994,INCREASES_PROFIT_CHANGE,6.22489959839358,CALCULABLE,会計的な利益影響であり因果を示さない,-66.91,-7.96,-58.949999999999996,-56.99,-3.02,-53.97,9.919999999999995,4.9399999999999995,4.979999999999995,9.919999999999998,4.94,4.979999999999998,4.979999999999999,3.552713678800501e-15,PASS,PASS,0.0,0.0,5.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,24,1億円以上 - 10億円未満,False,False,True,105,2,other_non_operating_income,その他の営業外収益,その他の営業外収益の前年差による利益影響,1,19.15,15.33,3.8199999999999985,3.8199999999999985,INCREASES_PROFIT_CHANGE,76.70682730923699,CALCULABLE,原因は統計だけでは特定しない,-66.91,-7.96,-58.949999999999996,-56.99,-3.02,-53.97,9.919999999999995,4.9399999999999995,4.979999999999995,9.919999999999998,4.94,4.979999999999998,4.979999999999999,3.552713678800501e-15,PASS,PASS,4.0,4.0,5.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,24,1億円以上 - 10億円未満,False,False,True,105,3,interest_expense,支払利息等,支払利息等の前年差による利益影響,-1,6.51,5.58,0.9299999999999997,-0.9299999999999997,REDUCES_PROFIT_CHANGE,-18.674698795180735,CALCULABLE,会計的な利益影響であり因果を示さない,-66.91,-7.96,-58.949999999999996,-56.99,-3.02,-53.97,9.919999999999995,4.9399999999999995,4.979999999999995,9.919999999999998,4.94,4.979999999999998,4.979999999999999,3.552713678800501e-15,PASS,PASS,1.0,-1.0,5.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,24,1億円以上 - 10億円未満,False,False,True,105,4,other_non_operating_expense,その他の営業外費用,その他の営業外費用の前年差による利益影響,-1,3.68,5.46,-1.7799999999999998,1.7799999999999998,INCREASES_PROFIT_CHANGE,35.74297188755023,CALCULABLE,会計的な利益影響であり因果を示さない,-66.91,-7.96,-58.949999999999996,-56.99,-3.02,-53.97,9.919999999999995,4.9399999999999995,4.979999999999995,9.919999999999998,4.94,4.979999999999998,4.979999999999999,3.552713678800501e-15,PASS,PASS,-2.0,2.0,5.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,25,10億円以上,False,False,True,105,1,interest_and_dividend_income,受取利息等,受取利息等の前年差による利益影響,1,2.0,2.4,-0.3999999999999999,-0.3999999999999999,REDUCES_PROFIT_CHANGE,-7.7071290944123225,CALCULABLE,会計的な利益影響であり因果を示さない,35.44,57.06,-21.620000000000005,39.61,56.04,-16.43,4.170000000000002,-1.0200000000000031,5.190000000000005,4.17,-1.02,5.1899999999999995,5.19,-4.440892098500626e-15,PASS,PASS,-0.0,-0.0,6.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,2026年1 - 3 月,101,農業、林業,25,10億円以上,False,False,True,105,2,other_non_operating_income,その他の営業外収益,その他の営業外収益の前年差による利益影響,1,7.28,4.49,2.79,2.79,INCREASES_PROFIT_CHANGE,53.75722543352596,CALCULABLE,原因は統計だけでは特定しない,35.44,57.06,-21.620000000000005,39.61,56.04,-16.43,4.170000000000002,-1.0200000000000031,5.190000000000005,4.17,-1.02,5.1899999999999995,5.19,-4.440892098500626e-15,PASS,PASS,3.0,3.0,6.0,FORBIDDEN_WITHOUT_EXTERNAL_PRIMARY_EVIDENCE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
