year,pref,matsutake_t,matsutake_status,regime,くるみ,くるみ_status,たけのこ,たけのこ_status,なめこ,なめこ_status,生しいたけ,生しいたけ_status,乾しいたけ,乾しいたけ_status,えのきたけ,えのきたけ_status
1965,三重,38.0,num,positive_only,0.0,zero_dash,163.2,num,0.0,zero_dash,385.0,num,92.3,num,,item_unobserved
1965,京都,189.4,num,positive_only,0.0,zero_dash,181.3,num,0.3,num,219.5,num,14.9,num,,item_unobserved
1965,佐賀,0.3,num,positive_only,0.0,zero_dash,1300.0,num,0.0,zero_dash,54.3,num,5.6,num,,item_unobserved
1965,兵庫,215.3,num,positive_only,0.0,num,124.3,num,6.7,num,728.2,num,20.6,num,,item_unobserved
1965,北海道,0.0,zero_dash,positive_only,14.0,num,427.3,num,11.0,num,203.8,num,5.6,num,,item_unobserved
1965,千葉,0.0,zero_dash,positive_only,0.0,zero_dash,749.6,num,4.5,num,196.1,num,0.0,zero_dash,,item_unobserved
1965,和歌山,25.0,num,positive_only,0.0,zero_dash,54.2,num,0.7,num,103.6,num,110.0,num,,item_unobserved
1965,埼玉,0.0,zero_dash,positive_only,1.0,num,20.5,num,9.8,num,1203.1,num,3.9,num,,item_unobserved
1965,大分,0.3,num,positive_only,0.0,zero_dash,661.1,num,0.0,zero_dash,61.1,num,1331.0,num,,item_unobserved
1965,大阪,17.7,num,positive_only,0.0,zero_dash,11.2,num,0.0,zero_dash,223.2,num,0.0,num,,item_unobserved
1965,奈良,10.3,num,positive_only,0.0,zero_dash,28.9,num,2.8,num,552.5,num,17.5,num,,item_unobserved
1965,宮城,10.2,num,positive_only,17.0,num,91.8,num,84.7,num,138.5,num,3.6,num,,item_unobserved
1965,宮崎,0.0,num,positive_only,0.0,zero_dash,653.5,num,0.3,num,66.5,num,994.5,num,,item_unobserved
1965,富山,0.0,num,positive_only,1.0,num,106.0,num,15.0,num,104.0,num,0.0,num,,item_unobserved
