year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1960,三重県,1061.0,1040.0,228.0,508.0,280.0,20.0,,2.0,2.0,21.0,2.0,3.0,16.0
1960,京都府,835.0,771.0,347.0,271.0,131.0,19.0,,0.0,3.0,64.0,2.0,6.0,56.0
1960,佐賀県,322.0,261.0,101.0,114.0,46.0,0.0,,,0.0,61.0,0.0,0.0,61.0
1960,全国,48515.0,37070.0,11136.0,13797.0,4515.0,1397.0,,5386.0,839.0,11445.0,964.0,1808.0,8673.0
1960,兵庫県,900.0,839.0,398.0,289.0,132.0,14.0,,0.0,6.0,61.0,5.0,13.0,43.0
1960,北海道,8752.0,4712.0,10.0,40.0,1.0,4.0,,4618.0,39.0,4040.0,615.0,307.0,3118.0
1960,千葉県,377.0,363.0,173.0,162.0,22.0,6.0,,0.0,0.0,14.0,0.0,0.0,14.0
1960,和歌山県,980.0,938.0,190.0,440.0,243.0,59.0,,0.0,6.0,42.0,1.0,1.0,40.0
1960,埼玉県,324.0,275.0,26.0,147.0,48.0,50.0,,2.0,2.0,49.0,2.0,13.0,34.0
1960,大分県,1076.0,953.0,333.0,480.0,108.0,29.0,,0.0,3.0,123.0,5.0,2.0,116.0
1960,大阪府,130.0,112.0,65.0,31.0,13.0,2.0,,0.0,1.0,18.0,1.0,0.0,17.0
1960,奈良県,1004.0,968.0,155.0,546.0,231.0,34.0,,0.0,2.0,36.0,1.0,6.0,29.0
1960,宮城県,641.0,495.0,136.0,316.0,29.0,7.0,,4.0,3.0,146.0,5.0,35.0,106.0
1960,宮崎県,1421.0,1058.0,330.0,511.0,102.0,108.0,,,7.0,363.0,5.0,7.0,351.0
1960,富山県,202.0,144.0,40.0,96.0,2.0,1.0,,1.0,4.0,58.0,2.0,40.0,16.0
1960,山口県,1165.0,865.0,590.0,202.0,69.0,2.0,,0.0,2.0,300.0,3.0,1.0,296.0
1960,山形県,565.0,388.0,84.0,287.0,3.0,0.0,,9.0,5.0,177.0,5.0,113.0,59.0
