year,item,unit,national,national_kind,sum_raw,sum_repaired,gap,gap_pct,consistent_raw,consistent_repaired,repair_rule,gap_reason,n_num,n_dash,n_x,n_absent,regime,scale_flag,source_file
1965,えのきたけ,(t),,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s40.xls
1965,くり,(t),1955.0,num,1955.0,1955.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,くるみ,(t),305.0,num,305.0,305.0,0.0,0.0,1,1,,,20,26,0,1,positive_only,,edfa08000_s40.xls
1965,しいたけ原木伏込,（立方メートル）,,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s40.xls
1965,しゅろ皮,(t),383.0,num,383.0,383.0,0.0,0.0,1,1,,,33,13,0,1,positive_only,,edfa08000_s40.xls
1965,たけのこ,(t),21278.5,num,21278.5,21278.5,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,なめこ,(t),1882.5,num,1882.5,1882.5,0.0,0.0,1,1,,,35,11,0,1,positive_only,,edfa08000_s40.xls
1965,まき,（千束）,119555.0,num,119555.0,119555.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,まつたけ,(t),1291.3,num,1291.3,1291.3,0.0,0.0,1,1,,,41,5,0,1,positive_only,,edfa08000_s40.xls
1965,乾しいたけ,(t),4810.4,num,4810.4,4810.4,0.0,0.0,1,1,,,45,1,0,1,positive_only,,edfa08000_s40.xls
1965,木炭計,(t),593113.0,num,593113.0,593113.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,生しいたけ,(t),16556.7,num,16556.7,16556.7,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,白炭,(t),,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s40.xls
1965,竹材,（千束）,8549.2,num,8549.2,8549.2,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s40.xls
1965,黒炭,(t),,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s40.xls
1966,えのきたけ,(t),,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s41.xls
1966,くり,(t),2758.0,num,2758.0,2758.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
1966,くるみ,(t),248.0,num,248.0,248.0,0.0,0.0,1,1,,,22,24,0,1,positive_only,,edfa08000_s41.xls
1966,しいたけ原木伏込,（立方メートル）,,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s41.xls
1966,しゅろ皮,(t),482.0,num,482.0,482.0,0.0,0.0,1,1,,,30,16,0,1,positive_only,,edfa08000_s41.xls
1966,たけのこ,(t),24205.9,num,24205.9,24205.9,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
1966,なめこ,(t),2330.2,num,2330.2,2330.2,0.0,0.0,1,1,,,37,8,0,1,positive_only,,edfa08000_s41.xls
1966,まき,（千束）,109398.0,num,109398.0,109398.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
1966,まつたけ,(t),1713.0,num,1713.0,1713.0,0.0,0.0,1,1,,,40,5,0,1,positive_only,,edfa08000_s41.xls
1966,乾しいたけ,(t),5021.9,num,5021.6,5021.6,0.3,6e-05,1,1,,,45,1,0,1,positive_only,,edfa08000_s41.xls
1966,木炭計,(t),516833.0,num,516833.0,516833.0,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
1966,生しいたけ,(t),20974.8,num,20974.8,20974.8,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
1966,白炭,(t),,dash,0,0,,,,,,,0,46,0,1,unobserved,,edfa08000_s41.xls
1966,竹材,（千束）,9237.5,num,9237.5,9237.5,0.0,0.0,1,1,,,46,0,0,1,positive_only,,edfa08000_s41.xls
