year,pref,item,item_raw,raw_value,value_raw,value,status,unit,regime,scale_flag,source_file
1965,北海道,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,青森,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,岩手,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,宮城,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,秋田,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,山形,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,福島,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,茨城,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,栃木,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,群馬,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,埼玉,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,千葉,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,東京,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,神奈川,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,新潟,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,富山,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,石川,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,福井,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,山梨,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,長野,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,岐阜,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,静岡,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,愛知,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,三重,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,滋賀,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,京都,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,大阪,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,兵庫,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,奈良,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,和歌山,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,鳥取,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,島根,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,岡山,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,広島,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,山口,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,徳島,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,香川,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,愛媛,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
1965,高知,えのきたけ,えのきたけ,‐,,,item_unobserved,(t),unobserved,,edfa08000_s40.xls
