,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
D-10,0.023625395052095512,0.01930723648095561,0.00547084477009035,-0.009114486135393063,0.007583761333900397,-0.0057358792922173035,-0.0076355811298967,0.01893160652121575,0.008074183615169015,0.004047379422348878,-0.004805824855394091,0.002451669539078745,0.011916207968790199,0.004001568793677989,0.003603560668023515,-0.0020234479684745573,-0.003650737209970829,-0.0009647626670797411,0.009929432049219382,-0.0017088283104854081,0.01515146415682055,0.0005053614401530576
D-9,0.019307236480957727,0.027045327628408344,0.01753816544399962,-0.011155545045827931,0.008747053496709928,0.002330081096989579,-0.005276468464093937,0.01787632716405705,0.005050072414298048,-0.0012586722422450822,-0.0032035740957807863,0.0014006883131508318,0.008656776038757898,0.00015662681321525744,-0.008205742199562537,0.003591668238664068,0.006090553752592434,-0.0008628580517608601,0.009967422382305429,0.0058591843376918406,0.018262262190746354,-0.00047249735555035516
D-8,0.005470844770091162,0.017538165443998725,0.043881376763309256,0.0003695618620218783,0.021261816589698678,0.018020930479568403,0.01675785591311983,0.02010835639114744,0.012338766979217477,-0.015483696260706281,-0.0025983848448532924,-0.012508150261834366,-0.01806273790633409,-0.017230861276455664,-0.023472139470773694,-0.01452471371296103,0.003968241927303572,-0.023781049587708644,-0.017071181168438927,0.004031645325981744,0.025543293420591157,0.006013141179803536
D-7,-0.009114486135393512,-0.011155545045829955,0.00036956186202083164,0.01174975906509556,-0.0015022138348621244,0.003498722091391313,0.0011081354594268745,-0.007538710000977004,0.0022241261722502964,-0.008724557103811282,-0.0021240907061304574,-0.01016977059400398,-0.01248435548969562,-0.0032274172047831347,0.0045685817101801885,-0.003033787954313508,-0.000167144347171194,0.005712296750685897,-0.0031893210422732875,0.005895228039654229,0.0013026275906133137,0.0052660362571178634
D-6,0.007583761333899868,0.00874705349670785,0.0212618165896975,-0.0015022138348622799,0.030777637820015902,-0.0009793209886384048,0.014952408372457834,0.022722844081453645,0.003821969040201575,0.001988071564722535,-0.008848705206989447,-0.014180879161827371,-0.01881285166507702,-0.02740139078923704,-0.026346695168720576,-0.022200755882280345,-0.01413085534618635,-0.03505806889273771,-0.016734038755921034,-0.0082903124568038,0.011315009449331517,-0.0025743141279468843
D-5,-0.005735879292216444,0.0023300810969886757,0.018020930479568296,0.0034987220913922576,-0.0009793209886372757,0.023455451427735734,0.022635837202557223,-0.003925799913821198,0.002317059619867056,-0.004827213287548094,0.011895762241446516,0.007718664016292999,-0.007840785460641073,-0.0002490586828429798,-0.011439848561276075,-0.00502719922758098,0.010088115803840907,0.003393480835024735,-0.002220386741049362,0.018301203064871974,0.007602118417635057,0.009915444455665473
D-4,-0.007635581129894512,-0.005276468464093466,0.016757855913121046,0.0011081354594289921,0.01495240837246009,0.02263583720255836,0.052771186940906205,0.01765473199067249,0.001543887107389187,0.014221238558057809,0.01379066154312219,0.017395505662570743,-0.01163666046018188,-0.019952017199638142,-0.02636177292479844,-0.02455505482414003,-0.001800845504252135,-0.027400690703409645,-0.018700721355618396,0.005691336258705276,0.01632645792661371,0.02247554167468004
D-3,0.018931606521215855,0.01787632716405556,0.020108356391146796,-0.007538710000976701,0.022722844081454193,-0.003925799913821786,0.017654731990670757,0.06234586550632838,0.017732479851570445,0.008936658332570258,-0.01292131966319102,0.0033947208200469843,0.009788135852511346,-0.022430185807760676,-0.003910561337732631,-0.011932356573669254,0.00038640777020313317,-0.031818496411947096,-0.010618584438514796,-0.014719447919572057,0.06079173790310852,0.036265948576468136
D-2,0.008074183615170028,0.005050072414297349,0.012338766979217531,0.0022241261722512604,0.0038219690402026252,0.0023170596198671027,0.0015438871073881096,0.017732479851571007,0.01310427219279447,-0.00657629410670624,-0.004655507083992352,-0.003621757483026562,0.0010931160694256732,-0.0010184545298932927,0.00792131510681253,-0.0048530865599568165,0.0013269166114401884,-0.004335464507744906,-0.004256276299518433,-0.0028288964906864784,0.024053426944123362,0.014152103401520639
D0,0.004047379422350155,-0.0012586722422452568,-0.015483696260705703,-0.008724557103809852,0.0019880715647241773,-0.0048272132875475104,0.014221238558057216,0.008936658332571411,-0.006576294106705733,0.022966605935420308,0.00592518056092934,0.019406923586852046,0.012249923776299371,-0.001955706497995572,-0.004765954218150256,-0.004181388161668026,-0.00600812487836567,-0.007734543442755546,0.003319636978933907,-0.004982322430290856,-0.002955756827177159,0.0039748865512885916
