,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
D-8,0.2467863727836897,0.1724344388157047,0.11207036906556431,0.1482101380017354,0.19913958744547489,0.1980474588873904,0.1287186845739413,0.060932718535968024,-0.022557466234912563,-0.1041982480532389,-0.08715709183696167,-0.007980816613660437,-0.0049717949081015365,0.0002569184913146677,-0.024475273964262013,-0.06185920856587834,0.02967479493203519,0.12159094718651464
D-7,0.1724344388157042,0.20351853585618696,0.15112426896373587,0.19678909612208717,0.11292396434767171,0.18222197238523083,0.15022074425100299,0.09996056793334954,0.06194446540793561,-0.025815486937789466,-0.049572464885509,0.0334856726630254,0.04295825861687617,-0.004403306137033902,0.03154854925573712,-0.04556425795153007,0.025071506440648143,0.08840271848934501
D-6,0.11207036906556449,0.15112426896373599,0.13406254702994724,0.15908197124347617,0.0453684727635439,0.14112553545165196,0.12799265624318434,0.07598147457405932,0.07677201514845514,0.003433977858181871,-0.016243830577963664,0.02241635273924199,0.023125126539682322,-0.019579989333218743,0.007991816224965531,-0.08244170242329442,-0.009772427375710399,0.02772162322550863
D-5,0.1482101380017361,0.1967890961220882,0.15908197124347617,0.21512751274724806,0.1096767609929215,0.19585464231269095,0.15973299642024055,0.1081772929158993,0.07230627461524586,-0.007668719207545086,-0.03849459278038435,0.02811508492418935,0.03378710692865662,-0.022620831278933815,0.029758266494160024,-0.06737517656197883,0.021880422979180615,0.06904647712913312
D-4,0.19913958744547666,0.11292396434767367,0.0453684727635452,0.10967676099292197,0.3148267167430209,0.17897079598256702,0.0485683454765252,0.02556212280734398,-0.09762436843889831,-0.10385194587711134,-0.10072988180422136,-0.02594961256988386,-0.02938620614741073,0.035457939460340565,-0.015914362071848046,0.03576485531736721,0.071490256530319,0.1384467880119673
D-3,0.19804745888739383,0.18222197238523494,0.14112553545165532,0.19585464231269314,0.17897079598256907,0.2213191544325415,0.15489332478871345,0.09409502308821487,0.02435543638874643,-0.05069763702720418,-0.0528060812156667,0.008110148440826324,0.007047226783603098,-0.019325505476930155,0.006449025594663248,-0.06872025584614318,0.04304818182600814,0.10251914175664263
D-2,0.1287186845739436,0.15022074425100532,0.12799265624318643,0.15973299642024164,0.04856834547652578,0.15489332478871187,0.14959258731962038,0.10246956273537612,0.07153482930574,-0.015851076079049488,-0.016953439625543222,0.03042391177717828,0.03508513764947952,-0.03459541635390969,0.03255398562219009,-0.06651612862247702,0.03156892388999727,0.07278095935767116
D0,0.060932718535969,0.0999605679333503,0.07598147457406058,0.10817729291589961,0.025562122807343726,0.09409502308821256,0.10246956273537527,0.1008481580203996,0.06306607637094168,0.0044339806210642345,0.0023776175266609152,0.05133356603128922,0.060188078480083736,-0.016134862865986477,0.0824772966998198,0.027254362724460992,0.07675840996458833,0.09418974551668124
D1,-0.022557466234911058,0.06194446540793718,0.07677201514845687,0.07230627461524655,-0.09762436843889855,0.02435543638874465,0.0715348293057398,0.06306607637094198,0.11334973109514912,0.06722531899288796,0.05044870965122227,0.05068920868967289,0.052015491925623436,-0.017504627297863822,0.05333494695606357,-0.024406262751100836,0.00040683636119430634,-0.012836384703783172
D2,-0.10419824805323633,-0.025815486937786812,0.003433977858184144,-0.007668719207543223,-0.10385194587711004,-0.05069763702720516,-0.015851076079049183,0.004433980621065588,0.06722531899288865,0.09823488971088569,0.08507263630862281,0.0352686863451288,0.03151567482923307,0.0025669943153994665,0.04791044912100954,0.021601003984579824,0.011254193422355193,-0.054916384222076516
