year,national_published_t,sum_positive_pref_t,n_pref_positive,n_pref_suppressed,hhi_lower,hhi_upper,ma5_national
1965,1291.3,1291.3000000000002,35,0,0.1686533031651354,0.1686533031651354,
1966,1713.0,1713.0000000000002,37,0,0.16134198527860671,0.16134198527860671,
1967,587.3,587.3,38,0,0.1039610225277773,0.1039610225277773,1124.56
1968,1523.8,1523.8,35,0,0.18569011703717822,0.18569011703717822,1261.06
1969,507.4,507.4,33,0,0.12177005389218672,0.12177005389218672,1040.54
1970,1973.8,1973.8000000000002,37,0,0.2323431018692628,0.2323431018692628,1012.0799999999999
1971,610.4,610.4000000000001,35,0,0.1133150339506226,0.1133150339506226,820.1200000000001
1972,445.0,445.0,28,0,0.12127256659512686,0.12127256659512686,827.8399999999999
1973,564.0,567.0,27,0,0.10918258478517148,0.10918258478517148,587.88
1974,546.0,548.0,21,0,0.1610701156161756,0.1610701156161756,586.6
1975,774.0,776.0,24,0,0.17497874375597833,0.17497874375597833,583.2
1976,604.0,604.0,25,0,0.13412788912766985,0.13412788912766985,594.4
1977,428.0,429.0,23,0,0.16841356002195162,0.16841356002195162,617.2
1978,620.0,623.0,25,0,0.14945804101213772,0.14945804101213772,553.8
1979,660.0,660.0,27,0,0.1384435261707989,0.1384435261707989,474.6
1980,457.0,458.0,24,0,0.13205316450868596,0.13205316450868596,485.8
1981,208.0,210.0,26,0,0.08099773242630384,0.08099773242630384,510.2
1982,484.0,486.0,27,0,0.1805111009500584,0.1805111009500584,414.4
1983,742.0,743.0,27,0,0.14970229091982776,0.14970229091982776,486.9799999999999
1984,181.0,181.0,25,0,0.13195567900857727,0.13195567900857727,485.25999999999993
1985,819.9,819.9000000000001,27,0,0.1662731664731855,0.1662731664731855,481.2
1986,199.4,199.4,28,0,0.16957945048787287,0.16957945048787287,413.9
1987,463.7,463.70000000000005,27,0,0.1813812156571862,0.1813812156571862,469.0799999999999
1988,405.5,405.5,27,0,0.11126559741896641,0.11126559741896641,407.7
1989,456.9,456.9,29,0,0.1587590028454532,0.1587590028454532,421.21999999999997
1990,513.0,507.00000000000006,29,0,0.1835531746865383,0.1835531746865383,365.9
1991,267.0,267.0,28,0,0.11655402656791371,0.11655402656791371,354.68
1992,187.1,187.10000000000002,27,0,0.3017358820855951,0.3017358820855951,287.38
1993,349.4,349.40000000000003,28,0,0.20801511397902167,0.20801511397902167,226.92
1994,120.4,120.69999999999999,25,0,0.13090924316796043,0.13090924316796043,
1995,210.7,210.69999999999996,29,0,0.3099476984643816,0.3099476984643816,
1999,147.20000000000002,147.20000000000002,25,0,0.19629644671550092,0.19629644671550092,
2000,181.3,181.3,25,0,0.3030509262484679,0.3030509262484679,
2001,77.9,77.9,24,0,0.15851433901137196,0.15851433901137196,107.8
2002,52.3,52.300000000000004,23,0,0.126279114828775,0.126279114828775,108.23999999999998
2003,80.29999999999998,80.3,22,0,0.14291208714518563,0.14291208714518563,79.8
2004,149.39999999999998,149.39999999999998,21,0,0.20976364180506057,0.20976364180506057,77.17999999999999
2005,39.1,39.1,19,0,0.12237622726172644,0.12237622726172644,76.93999999999998
2006,64.8,64.8,18,0,0.2247751867093431,0.2247751867093431,75.0
2007,51.1,51.10000000000001,17,0,0.2940590760605237,0.2940590760605237,49.959999999999994
2008,70.6,70.6,19,0,0.2800359524592927,0.2800359524592927,70.1
2009,24.2,24.200000000000003,17,0,0.15429273956696946,0.15429273956696946,64.35999999999999
2010,139.79999999999995,139.79999999999998,17,0,0.41445883246247966,0.41445883246247966,57.27999999999999
2011,36.1,36.1,17,0,0.19423577167148803,0.19423577167148803,50.719999999999985
2012,15.7,15.7,17,0,0.18008844172177368,0.18008844172177368,54.29999999999999
2013,37.8,37.800000000000004,14,0,0.6028526636992244,0.6028526636992244,40.519999999999996
2014,42.10000000000001,42.1,12,0,0.6958942908243577,0.6958942908243577,47.17999999999999
2015,70.89999999999998,70.89999999999999,18,0,0.5171689401429533,0.5171689401429533,47.67999999999999
2016,69.4,69.39999999999999,16,0,0.46522269929988613,0.46522269929988613,52.779999999999994
2017,18.2,18.200000000000003,16,0,0.31499818862456225,0.31499818862456225,47.21999999999999
2018,63.3,62.900000000000006,14,5,0.47586082972080596,0.4758927746955869,
2019,14.3,13.899999999999999,13,4,0.29346178297227243,0.2940486087339234,
