industry_code,industry_name,comparison_group,comparison_method,publication_role,reason
78A,普通洗濯業,exact_comparison,point_comparison,secondary,公式分類対応と内容定義から産業分類上の点比較が可能
79A,葬儀業,exact_comparison,point_comparison,main,公式分類対応と内容定義から産業分類上の点比較が可能
782,理容業,exact_comparison,point_comparison,corporate_segment_appendix,公式分類対応と内容定義から産業分類上の点比較が可能
783,美容業,exact_comparison,point_comparison,corporate_segment_appendix,公式分類対応と内容定義から産業分類上の点比較が可能
823,学習塾,exact_comparison,point_comparison,corporate_segment_appendix,公式分類対応と内容定義から産業分類上の点比較が可能
831,病院,exact_comparison,point_comparison,main,公式分類対応と内容定義から産業分類上の点比較が可能
832,一般診療所,exact_comparison,point_comparison,secondary,公式分類対応と内容定義から産業分類上の点比較が可能
833,歯科診療所,exact_comparison,point_comparison,corporate_segment_appendix,公式分類対応と内容定義から産業分類上の点比較が可能
891,自動車整備業,exact_comparison,point_comparison,corporate_segment_appendix,公式分類対応と内容定義から産業分類上の点比較が可能
581,各種食料品小売業,retail_endpoint_scenarios,per_industry_endpoint_range,endpoint_scenario,新5661への流出元を業種別に一意化できない
584,鮮魚小売業,retail_endpoint_scenarios,per_industry_endpoint_range,endpoint_scenario,新5661への流出元を業種別に一意化できない
605,燃料小売業,retail_endpoint_scenarios,per_industry_endpoint_range,endpoint_scenario,新5661への流出元を業種別に一意化できない
606,書籍・文房具小売業,retail_endpoint_scenarios,per_industry_endpoint_range,endpoint_scenario,新5661への流出元を業種別に一意化できない
603,医薬品・化粧品小売業,retail_reference,reference_only,reference_only,分類内容も変化し同一定義の量ではない
561,百貨店・総合スーパー,excluded,excluded,excluded,公式対応後にも不連続が残り比較を保留
