industry_code,industry_name,cross_municipalities,cross_pop_min,cross_pop_max,cross_max_gap
561,百貨店・総合スーパー,0,,,0
581,各種食料品小売業,228,119764,3777491,0.0005270520428986
584,鮮魚小売業,0,,,0
603,医薬品・化粧品小売業,486,55348,3777491,9.68532181444548e-06
605,燃料小売業,80,317625,3777491,2.40347883939673e-06
606,書籍・文房具小売業,211,132325,3777491,0.0003266450455919
782,理容業,485,55579,3777491,1.41122644335967e-05
783,美容業,849,24792,3777491,2.40044090142888e-05
78A,普通洗濯業,126,214592,3777491,4.4107159946627e-07
79A,葬儀業,26,642907,3777491,2.56669631986117e-05
823,学習塾,235,116828,3777491,5.60204813304654e-06
831,病院,5,1612392,3777491,5.52088387217875e-06
832,一般診療所,755,30799,3777491,0.0007086859982756
833,歯科診療所,1015,15916,3777491,0.0025385270123365
891,自動車整備業,15,826161,3777491,1.59580518244162e-07
